<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.TGKA:SMAL,D,20210104,000000,0.0133280,0.0133280,0.0107840,0.0110980,82908
MOEX.TGKA:SMAL,D,20210105,000000,0.0129600,0.0129600,0.0113160,0.0128480,46206
MOEX.TGKA:SMAL,D,20210106,000000,0.0137660,0.0137660,0.0114480,0.0136520,4573
MOEX.TGKA:SMAL,D,20210108,000000,0.0116020,0.0129960,0.0116020,0.0129820,2649
MOEX.TGKA:SMAL,D,20210111,000000,0.0129820,0.0139160,0.0118260,0.0118500,86651
MOEX.TGKA:SMAL,D,20210112,000000,0.0130140,0.0130140,0.0116180,0.0116180,367509
MOEX.TGKA:SMAL,D,20210113,000000,0.0118000,0.0139200,0.0114300,0.0114300,131435
MOEX.TGKA:SMAL,D,20210114,000000,0.0136140,0.0136140,0.0112960,0.0116200,19018
MOEX.TGKA:SMAL,D,20210115,000000,0.0138480,0.0138480,0.0117000,0.0117000,6784
MOEX.TGKA:SMAL,D,20210118,000000,0.0115020,0.0137880,0.0115020,0.0116000,240770
MOEX.TGKA:SMAL,D,20210119,000000,0.0115020,0.0124620,0.0115020,0.0124520,225756
MOEX.TGKA:SMAL,D,20210120,000000,0.0123000,0.0123000,0.0116000,0.0122880,7012
MOEX.TGKA:SMAL,D,20210121,000000,0.0122080,0.0122080,0.0115000,0.0116040,128515
MOEX.TGKA:SMAL,D,20210122,000000,0.0134740,0.0134740,0.0111620,0.0124800,107697
MOEX.TGKA:SMAL,D,20210125,000000,0.0132900,0.0132900,0.0111020,0.0132380,239963
MOEX.TGKA:SMAL,D,20210126,000000,0.0093160,0.0132920,0.0093160,0.0114000,146275
MOEX.TGKA:SMAL,D,20210127,000000,0.0114000,0.0133200,0.0100080,0.0113000,42424
MOEX.TGKA:SMAL,D,20210128,000000,0.0119800,0.0119800,0.0119800,0.0119800,1
MOEX.TGKA:SMAL,D,20210129,000000,0.0111000,0.0118400,0.0111000,0.0118400,2192
MOEX.TGKA:SMAL,D,20210201,000000,0.0120500,0.0120500,0.0109680,0.0120360,100900
MOEX.TGKA:SMAL,D,20210202,000000,0.0133540,0.0133560,0.0111660,0.0133460,8155
MOEX.TGKA:SMAL,D,20210203,000000,0.0111300,0.0133020,0.0111300,0.0111880,86728
MOEX.TGKA:SMAL,D,20210204,000000,0.0115720,0.0125580,0.0115720,0.0115720,55384
MOEX.TGKA:SMAL,D,20210205,000000,0.0135640,0.0135640,0.0121880,0.0121880,1656
MOEX.TGKA:SMAL,D,20210208,000000,0.0135480,0.0135480,0.0114220,0.0135320,57536
MOEX.TGKA:SMAL,D,20210209,000000,0.0114340,0.0124680,0.0114340,0.0124600,101668
MOEX.TGKA:SMAL,D,20210210,000000,0.0122040,0.0122040,0.0114620,0.0114620,142673
MOEX.TGKA:SMAL,D,20210211,000000,0.0116000,0.0124600,0.0114220,0.0124400,95942
MOEX.TGKA:SMAL,D,20210212,000000,0.0115500,0.0122540,0.0112520,0.0112740,46943
MOEX.TGKA:SMAL,D,20210215,000000,0.0120840,0.0120840,0.0112500,0.0112560,47868
MOEX.TGKA:SMAL,D,20210216,000000,0.0120640,0.0120640,0.0113000,0.0114480,113058
MOEX.TGKA:SMAL,D,20210217,000000,0.0119440,0.0119440,0.0112020,0.0114580,266045
MOEX.TGKA:SMAL,D,20210218,000000,0.0121420,0.0121420,0.0111180,0.0113660,10852
MOEX.TGKA:SMAL,D,20210219,000000,0.0119860,0.0119860,0.0106840,0.0117920,75101
MOEX.TGKA:SMAL,D,20210220,000000,0.0110800,0.0113840,0.0110800,0.0113840,88421
MOEX.TGKA:SMAL,D,20210222,000000,0.0120340,0.0120340,0.0117800,0.0117860,7483
MOEX.TGKA:SMAL,D,20210224,000000,0.0113500,0.0113620,0.0110700,0.0110700,91914
MOEX.TGKA:SMAL,D,20210225,000000,0.0111000,0.0119080,0.0110620,0.0110720,76156
MOEX.TGKA:SMAL,D,20210226,000000,0.0118960,0.0118960,0.0109000,0.0115900,131560
MOEX.TGKA:SMAL,D,20210301,000000,0.0115860,0.0115860,0.0100000,0.0100000,104496
MOEX.TGKA:SMAL,D,20210302,000000,0.0115880,0.0115880,0.0109040,0.0111000,1986
MOEX.TGKA:SMAL,D,20210303,000000,0.0111000,0.0111000,0.0110020,0.0111000,83095
MOEX.TGKA:SMAL,D,20210304,000000,0.0111000,0.0111000,0.0107920,0.0107920,49733
MOEX.TGKA:SMAL,D,20210305,000000,0.0108220,0.0124920,0.0107060,0.0111000,231376
MOEX.TGKA:SMAL,D,20210309,000000,0.0107500,0.0128900,0.0107220,0.0124900,80322
MOEX.TGKA:SMAL,D,20210310,000000,0.0129260,0.0129260,0.0129200,0.0129200,367
MOEX.TGKA:SMAL,D,20210311,000000,0.0114560,0.0118600,0.0112000,0.0116880,2933
MOEX.TGKA:SMAL,D,20210312,000000,0.0111120,0.0117460,0.0111120,0.0115860,38748
MOEX.TGKA:SMAL,D,20210315,000000,0.0119780,0.0119780,0.0112860,0.0114500,31720
MOEX.TGKA:SMAL,D,20210316,000000,0.0114500,0.0124020,0.0111260,0.0111260,236466
MOEX.TGKA:SMAL,D,20210317,000000,0.0111840,0.0115920,0.0111840,0.0111860,124606
MOEX.TGKA:SMAL,D,20210318,000000,0.0115920,0.0115920,0.0112680,0.0114480,99125
MOEX.TGKA:SMAL,D,20210322,000000,0.0116700,0.0116700,0.0110020,0.0110200,116844
MOEX.TGKA:SMAL,D,20210323,000000,0.0110020,0.0115660,0.0110020,0.0112000,117831
MOEX.TGKA:SMAL,D,20210324,000000,0.0115960,0.0115960,0.0109480,0.0109480,94344
MOEX.TGKA:SMAL,D,20210325,000000,0.0115360,0.0115360,0.0110360,0.0110360,47453
MOEX.TGKA:SMAL,D,20210326,000000,0.0115400,0.0115400,0.0114980,0.0114980,27
MOEX.TGKA:SMAL,D,20210329,000000,0.0111780,0.0115820,0.0111780,0.0115820,198356
MOEX.TGKA:SMAL,D,20210330,000000,0.0112460,0.0118160,0.0112460,0.0118100,142741
MOEX.TGKA:SMAL,D,20210331,000000,0.0119240,0.0119240,0.0113300,0.0118220,62680
MOEX.TGKA:SMAL,D,20210401,000000,0.0119000,0.0119000,0.0118400,0.0118420,5976
MOEX.TGKA:SMAL,D,20210402,000000,0.0122460,0.0122460,0.0115120,0.0118400,17806
MOEX.TGKA:SMAL,D,20210405,000000,0.0118000,0.0120000,0.0118000,0.0120000,6212
MOEX.TGKA:SMAL,D,20210406,000000,0.0122000,0.0122000,0.0116720,0.0121860,47154
MOEX.TGKA:SMAL,D,20210407,000000,0.0120000,0.0120000,0.0116520,0.0120000,12214
MOEX.TGKA:SMAL,D,20210408,000000,0.0119960,0.0119960,0.0117000,0.0119960,4161
MOEX.TGKA:SMAL,D,20210409,000000,0.0120000,0.0121980,0.0116800,0.0116880,6169
MOEX.TGKA:SMAL,D,20210412,000000,0.0116520,0.0122000,0.0116520,0.0120040,743404
MOEX.TGKA:SMAL,D,20210413,000000,0.0122000,0.0138460,0.0116780,0.0116980,272884
MOEX.TGKA:SMAL,D,20210414,000000,0.0118860,0.0138420,0.0118860,0.0138180,353063
MOEX.TGKA:SMAL,D,20210415,000000,0.0138460,0.0138460,0.0119400,0.0119420,94651
MOEX.TGKA:SMAL,D,20210416,000000,0.0123000,0.0125000,0.0119960,0.0125000,42244
MOEX.TGKA:SMAL,D,20210419,000000,0.0128160,0.0128160,0.0118160,0.0118180,155672
MOEX.TGKA:SMAL,D,20210420,000000,0.0140740,0.0140740,0.0117260,0.0123000,82712
MOEX.TGKA:SMAL,D,20210421,000000,0.0141060,0.0141060,0.0118320,0.0118320,56697
MOEX.TGKA:SMAL,D,20210422,000000,0.0128520,0.0128520,0.0117340,0.0117380,45874
MOEX.TGKA:SMAL,D,20210423,000000,0.0140840,0.0140840,0.0118460,0.0129920,130692
MOEX.TGKA:SMAL,D,20210426,000000,0.0109060,0.0138340,0.0109060,0.0119280,126137
MOEX.TGKA:SMAL,D,20210427,000000,0.0125000,0.0129960,0.0119640,0.0125000,21288
MOEX.TGKA:SMAL,D,20210428,000000,0.0118380,0.0141560,0.0116780,0.0141360,139597
MOEX.TGKA:SMAL,D,20210429,000000,0.0130000,0.0130000,0.0116660,0.0129680,52331
MOEX.TGKA:SMAL,D,20210430,000000,0.0130000,0.0130000,0.0118000,0.0118000,8107
MOEX.TGKA:SMAL,D,20210504,000000,0.0139900,0.0139980,0.0118000,0.0129780,16886
MOEX.TGKA:SMAL,D,20210505,000000,0.0141300,0.0141300,0.0119000,0.0123980,8310
MOEX.TGKA:SMAL,D,20210506,000000,0.0144060,0.0144080,0.0139980,0.0139980,3504
MOEX.TGKA:SMAL,D,20210507,000000,0.0144540,0.0144540,0.0120140,0.0139900,76364
MOEX.TGKA:SMAL,D,20210510,000000,0.0144360,0.0144360,0.0118760,0.0139840,2508
MOEX.TGKA:SMAL,D,20210511,000000,0.0142660,0.0142660,0.0118080,0.0118480,80695
MOEX.TGKA:SMAL,D,20210512,000000,0.0123200,0.0141360,0.0119320,0.0119320,96835
MOEX.TGKA:SMAL,D,20210513,000000,0.0118020,0.0118080,0.0118020,0.0118080,54230
MOEX.TGKA:SMAL,D,20210514,000000,0.0140080,0.0140080,0.0118100,0.0129960,140997
