<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
HYDR,D,20220103,000000,0.7440000,0.7518000,0.7409000,0.7493000,190309000
HYDR,D,20220104,000000,0.7499000,0.7614000,0.7456000,0.7577000,259267000
HYDR,D,20220105,000000,0.7578000,0.7600000,0.7320000,0.7341000,234764000
HYDR,D,20220106,000000,0.7339000,0.7540000,0.7264000,0.7477000,306505000
HYDR,D,20220110,000000,0.7482000,0.7553000,0.7366000,0.7437000,370312000
HYDR,D,20220111,000000,0.7421000,0.7537000,0.7408000,0.7521000,429335000
HYDR,D,20220112,000000,0.7500000,0.7531000,0.7447000,0.7516000,302509000
HYDR,D,20220113,000000,0.7484000,0.7569000,0.7222000,0.7314000,484948000
HYDR,D,20220114,000000,0.7328000,0.7397000,0.7093000,0.7326000,863679000
HYDR,D,20220117,000000,0.7340000,0.7376000,0.7207000,0.7293000,459958000
HYDR,D,20220118,000000,0.7305000,0.7316000,0.6850000,0.7005000,801403000
HYDR,D,20220119,000000,0.7005000,0.7223000,0.6788000,0.7173000,769337000
HYDR,D,20220120,000000,0.7146000,0.7286000,0.7068000,0.7138000,546491000
HYDR,D,20220121,000000,0.7129000,0.7236000,0.7040000,0.7098000,624281000
HYDR,D,20220124,000000,0.7142000,0.7170000,0.6658000,0.7017000,1248743000
HYDR,D,20220125,000000,0.7009000,0.7240000,0.6894000,0.7174000,717689000
HYDR,D,20220126,000000,0.7187000,0.7216000,0.6981000,0.7000000,659726000
HYDR,D,20220127,000000,0.7030000,0.7470000,0.6940000,0.7417000,1343420000
HYDR,D,20220128,000000,0.7417000,0.7525000,0.7264000,0.7295000,440677000
HYDR,D,20220131,000000,0.7305000,0.7430000,0.7305000,0.7359000,289928000
HYDR,D,20220201,000000,0.7372000,0.7418000,0.7092000,0.7207000,650033000
HYDR,D,20220202,000000,0.7191000,0.7313000,0.7161000,0.7253000,377966000
HYDR,D,20220203,000000,0.7208000,0.7296000,0.7110000,0.7252000,355528000
HYDR,D,20220204,000000,0.7275000,0.7446000,0.7249000,0.7398000,387083000
HYDR,D,20220207,000000,0.7398000,0.7469000,0.7342000,0.7443000,245312000
HYDR,D,20220208,000000,0.7456000,0.7600000,0.7415000,0.7551000,384032000
HYDR,D,20220209,000000,0.7563000,0.7764000,0.7555000,0.7739000,581931000
HYDR,D,20220210,000000,0.7710000,0.7750000,0.7559000,0.7574000,359974000
HYDR,D,20220211,000000,0.7584000,0.7638000,0.7234000,0.7268000,614613000
HYDR,D,20220214,000000,0.7270000,0.7373000,0.7122000,0.7276000,658510000
HYDR,D,20220215,000000,0.7290000,0.7548000,0.7262000,0.7542000,652339000
HYDR,D,20220216,000000,0.7549000,0.7636000,0.7492000,0.7613000,576135000
HYDR,D,20220217,000000,0.7629000,0.7629000,0.7400000,0.7503000,705609000
HYDR,D,20220218,000000,0.7533000,0.7722000,0.7352000,0.7478000,1279594000
